APINumber,JobStartDate,JobEndDate,Job Length,OperatorName,WellName,Latitude,Longitude,StateName,CountyName
35063243750000,7/12/2011 0:00,7/16/2011 0:00,4.00,XTO Energy/ExxonMobil,Reeder 4-23H,34.812528,-96.116194,Oklahoma,Hughes
35129234950000,8/20/2011 0:00,4/4/2012 11:49,228.49,"Chesapeake Operating, Inc.",BARC TRUST 1-14H,35.51006058,-99.50279618,Oklahoma,Roger Mills
35129235740000,12/12/2011 0:00,5/31/2012 0:00,171.00,"Chesapeake Operating, Inc.",WELTY 31-16-22 1H,35.812829,-99.577434,Oklahoma,Roger Mills
35069201270000,12/18/2011 0:00,3/4/2012 0:00,77.00,XTO Energy/ExxonMobil,Saxon 1-26H,34.18275,-96.862389,Oklahoma,Johnston
35043232270000,2/1/2012 0:00,12/29/2014 0:00,1062.00,Devon Energy Production Company L. P.,THREE SISTERS 1-21H,35.92918,-98.69775,Oklahoma,Dewey
35045232740000,2/28/2012 0:00,3/1/2013 0:00,367.00,"Chesapeake Operating, Inc.",FORBAU 8-20-25 1H,36.21736861,-99.88415809,Oklahoma,Ellis
35019256100000,3/7/2012 0:00,3/11/2012 0:00,4.00,XTO Energy/ExxonMobil,Leming 1-23H,34.188417,-96.956056,Oklahoma,Carter
35019255870000,3/13/2012 0:00,3/17/2012 0:00,4.00,XTO Energy/ExxonMobil,Page 1-10H,34.217,-96.980444,Oklahoma,Carter
35019255900000,3/19/2012 0:00,3/22/2012 0:00,3.00,XTO Energy/ExxonMobil,Lydia 1-4H3,34.318611,-97.091361,Oklahoma,Carter
35019256190000,3/29/2012 0:00,4/1/2012 0:00,3.00,XTO Energy/ExxonMobil,Dennis 1-21H,34.275694,-96.989056,Oklahoma,Carter
35007254780000,4/3/2012 0:00,5/6/2014 0:00,763.00,Unit Petroleum,Cornell 1-4H,36.65936,-100.69721,Oklahoma,Beaver
35019256360000,5/29/2012 0:00,6/1/2012 0:00,3.00,XTO Energy/ExxonMobil,Ardmore Airport 1-18H,34.290111,-97.025333,Oklahoma,Carter
35095205810000,6/4/2012 0:00,6/7/2012 0:00,3.00,XTO Energy/ExxonMobil,Barker 2-12H,34.130167,-96.727944,Oklahoma,Marshall
35069201330000,6/11/2012 0:00,6/14/2012 0:00,3.00,XTO Energy/ExxonMobil,Velin 1-22H15,34.200583,-96.866806,Oklahoma,Johnston
35019256380000,6/18/2012 0:00,6/21/2012 0:00,3.00,XTO Energy/ExxonMobil,Ardmore Foundry 1-7H,34.306806,-97.036917,Oklahoma,Carter
35051235860000,8/9/2012 0:00,8/17/2012 0:00,8.00,"Sheridan Production Company, LLC",Jerry 1-24,34.886708,-97.77748,Oklahoma,Grady
35149216400000,8/22/2012 0:00,11/26/2012 6:34,96.27,"Chesapeake Operating, Inc.",CARL WALTON 10-11-18 2H,35.43671103,-99.09247451,Oklahoma,Washita
35047246080000,10/8/2012 0:00,10/11/2012 0:00,3.00,"Longfellow Energy, LP",Mack 23-M1H,36.1896777,-97.8150953,Oklahoma,Garfield
35007255390000,10/11/2012 0:00,10/14/2012 0:00,3.00,Cabot Oil & Gas Corp,Morris #1-20XLH,36.70408979,-100.5979943,Oklahoma,Beaver
35103243990000,10/11/2012 0:00,10/14/2012 0:00,3.00,Devon Energy Production Company L. P.,McIntosh 1-36MH,36.171947,-97.370539,Oklahoma,Noble
35073247900000,10/20/2012 0:00,10/26/2012 0:00,6.00,"Husky Ventures, Inc.",Rigdon #1-36H,35.91244687,-97.68341145,Oklahoma,Kingfisher
35007255450000,11/1/2012 0:00,11/5/2012 0:00,4.00,Cabot Oil & Gas Corp,Mitchell 1-13XLH,36.71860711,-100.6454327,Oklahoma,Beaver
35053231490000,11/14/2012 0:00,11/18/2012 0:00,4.00,Devon Energy Production Company L. P.,Dewey 1-17MH,36.739195,-97.76865,Oklahoma,Grant
35073217980000,11/19/2012 0:00,11/24/2012 0:00,5.00,Ward Petroleum,Gant 1-27H,35.92659166,-97.71467718,Oklahoma,Kingfisher
35083240170000,11/21/2012 0:00,11/24/2012 0:00,3.00,Devon Energy Production Company L. P.,Hopfer 1-17MH,36.142604,-97.3227096,Oklahoma,Logan
35073247990000,11/29/2012 0:00,12/4/2012 0:00,5.00,"Husky Ventures, Inc.",Kathy James 1-35H,35.89887835,-97.69644635,Oklahoma,Kingfisher
